Label;Category;Denomination;Content;Rock type;Location;Producer;Amount;Comments;Link
153;Certified;;;slag;;Research Institute of Nova Hut Ostrava;;Samples: 1 large jar;
3999;;;;;;;;;
8271;;;;;;;;;
70RL2 ;Hausstandard;;;;;;;Samples: 1 large jar;
70RL26;Hausstandard;;;;;;;Samples: 1 large jar;
70Rl29;Hausstandard;;;;;;;Samples: 1 large jar;
70RL3;Hausstandard;;;;;;;Samples: 1 large jar;
70RL5;Hausstandard;;;;;;;Samples: 1 large jar;
IR 78/12/2;Standards Iran (Dr. Spies);8122 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Sticker S, Name IR 78/12/2 is the same as 8122 S;
IR 78/17/3;Standards Iran (Dr. Spies);8173 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Name IR 78/17/3 is the same as 8173 S.;
IR 78/17/4;Standards Iran (Dr. Spies);;;;Iran;;0 g;;
IR 78/27/1;Standards Iran (Dr. Spies);;;;Iran;;~3 g ;Samples: 1 large jar, Sticker S;
IR 78/27/2;Standards Iran (Dr. Spies);;;;Iran;;0 g;;
IR 78/34/2;Standards Iran (Dr. Spies);8342 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Sticker S, Name IR 78/34/2 is the same as 8342 S.;
IR 78/6/1;Standards Iran (Dr. Spies);8061 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Sticker S, Name IR 78/6/1 is the same as 8061 S.;
A-1;Hausstandard;;;Amphibolit;;;;Samples: 1 large jar, 1 small jar;
AC-E;Certified;;Granite;Granite;Ailsa Graig Island, S. W. Scotland, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~14.5g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-AC-E_1.html
AGV-1;Certified;;Andesite;Andesite;Lake County, OR, East wall of Guano valley;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-AGV-1_1.html
AL-I;Certified;GIT-IWG;Feldspar;Albite (Feldspar);Pinzele, Trente, ITA;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";paper bag: 6.8 g;Samples: 1 small jar, 1 paper bag (20726);http://www.geostandards.lanl.gov/AllAnalytes/All-AL-I_1.html
Amina 8;No international standard;;Feldspar;Potash Feldspar;;;7.9 g;Samples: 1 small jar;
AN-G;Certified;;Anorthosite;Anorthosite;Fiskenaesset, Western Greenland, GRL;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~15g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-AN-G_1.html
AnK;Certified;;;Anorthosite;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stored in black box;
ASK-3;Certified;;;Sulfide Ore;Kismalm;Analytik Sporelement K.;;Samples: 1 medium jar;
BAM 532-1;Certified;;;;;Max-Planck-Institut D., Bundesanstalt f. Materialforschung;;Samples: 1 large jar;
BAM 633-1;Certified;;;;;Max-Planck-Institut D., Bundesanstalt f. Materialforschung ;;Samples: 1 large jar;
BB;Göttinger Hausstandard;;;;;;;Samples: 1 small jar;
BB 46;Göttinger Hausstandard;;;;;;;Samples: 1 small jar, 46 Fl.D 6;
BCR-1;Certified;;Basalt;Columbia River Basalt;Bridal Veil Flow Quarry, WA;United States Geological Survey;;Samples: 1 medium jar, 3 small jars, Split 1 Positon 19, Split 50 Positon 3;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BCR-1_1.html
BCR-2;Certified;;;;;United States Geological Survey;;Samples: 1 small jar;
BCS 204a;Certified;;;Zircon;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 267;Certified;;;Silica Brick;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar;
BCS 269;Certified;;;Firebrick;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1  medium jar;
BCS 290/2;Certified;;;Manganese Steel;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, Euro-Standard 253-1;
BCS 301/1;Certified;;;Iron ore ;Lincolnshire;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 303;Certified;;;Iron Ore Sinter;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar;
BCS 308;Certified;;;Grecian Chrome Ore;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar;
BCS 309;Certified;;;Sillimanit;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 small jar;
BCS 358;Certified;;;Zircon;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 367;Certified;;Slag;Blast Furnace slag;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 medium jar, 1 small jar;
BCS 368;Certified;;Dolomite;Dolomite;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 medium jar, 1 small jar;
BCS 372;Certified;;;Cement;Portland;Bureau of Analysed Samples, Ltd.;;Samples: 2 small jars;
BCS 375;Certified;;Feldspar;Soda Feldspar;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 small jar;
BCS 376;Certified;;Feldspar;Potash Feldspar;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 small jar;
BCS 388;Certified;;;Zircon;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 389;Certified;;;Magnesit;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar, high-purity;
BCS 393;Certified;;Limestone;Limestone;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 395;Certified;;Bauxite;Bauxite;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCSS-1;Certified;;Aquatic Sediment;Marine Sediment;;;;Samples: 1 small jar;
BE1;Certified;;;Braunkohlenasche;Espenhain;;;Samples: 1 small jar, Ampullennr. 1;
BE-N;Certified;;Basalt;Basalt;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~14g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-BE-N_1.html
BHA-1;Certified;;;Braunerde;Hilbersdorf, A-Horizont;Geostandard Freiberg, Sachsen;;Samples: 1 medium jar, Teilprobe 2 Packung 6;
BHB-1;Certified;;;Braunerde;Hilbersdorf, B-Horizont;Geostandard Freiberg, Sachsen;;Samples: 1 medium jar, Teilprobe 2, Packung 6;
BHVO-1;Certified;;Basalt;Basalt;Pahoehoe lava from the Kilauea Caldera, HI, 1919;United States Geological Survey;;Samples: 1 medium jar, 1 small jar, Split 43 Position 16;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BHVO-1_1.html
BHVO-2;Certified;;;;;United States Geological Survey;;Samples: 1 small jar;
BIR-1;;Reykjavik dolerites;Basalt;Basalt;12km east of Reykjavik, ISL;United States Geological Survey;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html
BIR-1a;Certified;;Basalt;Basalt;Iceland;United States Geological Survey;;Samples: 1 large jar, 732;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html
BM;Certified;;Basalt;Basalt;DDR;Zentr. Geo. Institut DDR;;Samples: 1 large jar, 1 small jar, 50 g Herstellung 1964, abgelaufen 1994;
BOA-1;Certified;;;Braunerde;Oberschöna, A-Horizont;Geostandard Freiberg, Sachsen;;Samples: 1 medium jar, Teilprobe 2, Packung 1;
BOB-1;Certified;;;Braunerde;Oberschöna, B-Horizont;Geostandard Freiberg, Sachsen;;Samples: 1 medium jar, Teilprobe 2, Packung 1;
BR;Certified;;Basalt;Basalt;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;Centre de Recherches Petrographiques et Geochimiques;;Samples: 1 medium jar, 1 small jar, 1 paper bag (178), 10g,  F:1000ppm, 130;http://www.geostandards.lanl.gov/AllAnalytes/All-BR_1.html
BS-1;Certified;;;Braunkohlenasche;Spreetal Bluno;Bergakademie Freiberg DDR Sektion Geowissenschaften ;;Samples: 1 small jar;
BSl-1h;No international standard;;;Hornblende;;;6.69 g;Samples: 1 small jar;
BX-N;Certified;;Bauxite;Bauxite;Mine de Marou, Brignoles (Var), FRA ;Association Nationale de la Recherche Technique;~12 g;Samples: 2 small jars, 1 paper bag (11429);http://www.geostandards.lanl.gov/AllAnalytes/All-BX-N_1.html
CCU-1a;Certified;;;Copper Concentrate;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
CG;KTB-Standard;;;Cordierite Gneiss;KTB;;;Samples: 1 large jar, 1 small jar;
CuPL;Certified;Ruda Miedzi;;Copper ore;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stored in balck box;
DR-N;Certified;;;Diorite;Neuentelstein, Massif du Champ du Feu (Vosges), FRA ;Association Nationale de la Recherche Technique;;Samples: 1 medium jar, 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-DR-N_1.html
DT-N;Certified;;Disthene;Disthene (Kyanite);Nanga, Eboko, CMR;Association Nationale de la Recherche Technique;~14.5 g;Samples: 2 small jars, 1 paper bag (10329);http://www.geostandards.lanl.gov/AllAnalytes/All-DT-N_1.html
DTS-1;Certified;Analyzed Dunite;Dunite;Dunite;Twin Sisters area, Hamilton, WA;United States Geological Survey;;Samples: 1 medium jar, 2 small jars, Split 34 Position 8;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-DTS-1_1.html
ECH;Certified;;;;;;;Samples: 1 small jar, 02.05.1986;
ENO;Certified;;;;;;;Samples: 1 small jar;
EOP;Certified;;;;;;;Samples: 1 small jar;
EURO 876-1;Certified;;;Elektroofenstaub;;;;Samples: 1 small jar;
EURO 877-1;Certified;;;Furnace Dust;;;;Samples: 1 small jar;
F;unbekannt ;G 212/86;;Dazit;;;;Samples: 1 small jar;
FK-N;Certified;;Feldspar;Potash Feldspar;Madras (now Tamil Nadu), IND;Association Nationale de la Recherche Technique;~10 g / paper bag: 14 g;Samples: 1 small jar, 1 paper bag (1974, 167), Geostandards B.P.20, 54501 Vandoeuvre Cedex France;http://www.geostandards.lanl.gov/AllAnalytes/All-FK-N_1.html
G-1;Certified;;Granite;Granite;Westerly, RI;United States Geological Survey, Smith Granite Company;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-G-1_1.html
G-2;Certified;;Granite;Westerley Granite;Bradford, RI;United States Geological Survey;;Samples: 1 medium jar, 1 small jar, Split 104 Positon 15;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-G-2_1.html
GA;Certified;;Granite;Granite;Andlau, Bas-Rhin, FRA ;Centre de Recherches Petrographiques et Geochimiques;;Samples: 1 medium jar, 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-GA_1.html
GD;Göttinger Hausstandard;;;;;;;Samples: 2 small jars, 62 Fl. B 6;
GF-1;Certified;;;Galenit;;;;Samples: 1 small jar, Ampullenprobe Nr.4;
GH;Certified;;Granite;Granite;Massif du Tauorirt Tan Afella, Hoggar, DZA;Centre de Recherches Petrographiques et Geochimiques, Geostandards B.P.20, 54501 Vandoeuvre Cedex France;;Samples: 1 medium jar, 1 small jar, 1 paper bag (1963), GIT-IWG;http://www.geostandards.lanl.gov/AllAnalytes/All-GH_1.html
GM;Certified;;Granite;Granite;DDR;Zent. Geo. Ins. Berlin ;;Samples: 1 large jar, 1 small jar, Abgelaufen 1994, 50g;
GO;KTB-Standard;;Gabbro;Gabbro;KTB;;;Samples: 1 large jar, 1 small jar;
GP-3;;;Synthetic Silico-aluminous Glass;Glas, silikatisches;;United States Geological Survey;0 g;"Ringprobe mit 2 Körnern, 1 davon zerkleinert, Schliff für EPMA/LA ICP MS; EPMA 3 mm-Röhrchen Nr. 44";
GSD-11;Certified;IGGE IRMA;Aquatic Sediment;Drainage Sediment, Stream-sediment;China;;;Samples: 2 small jars;
GSD-12;Certified;IGGE IRMA;Aquatic Sediment;Drainage Sediment, Stream-sediment;China;;;Samples: 2 small jars;
GSD-6;Certified;IGGE IRMA;Aquatic Sediment;Drainage Sediment;China 1980;;;Samples: 1 small jar;
GSD-7;Certified;IGGE IRMA;Aquatic Sediment;Drainage Sediment;China 1980;;;Samples: 1 small jar;
GS-N;Certified;;Granite;Granite;Senones (Vosges), FRA ;Association Nationale de la Recherche Technique;~5 g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-GS-N_1.html
GSP-1;Certified;;Granodiorite;Granodiorite;Silver Plume Quarry, CO;United States Geological Survey;;Samples: 1 medium jar, 1 small jar, Split 51 Position 20;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GSP-1_1.html
GSR-1;Certified;;Granite;Biotite granite;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;10 g;Samples: 1 small jar;
GSR-2;Certified;;Andesite;Andesite;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;2.2 g;Samples: 1 small jar, 6.3.93;
GSR-3;Certified;;Basalt;Basalt;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;;Samples: 1 small jar;
GSR-4;Certified;;;Sandstone;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;9 g;Samples: 1 small jar;
GSR-5;Certified;;Shale;Shale;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;8 g;Samples: 1 small jar;
GSR-6;Certified;IGGE IRMA;Limestone;Limestone;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;;Samples: 2 small jars;
GSS-1;Certified;IGGE IRMA;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;;Sample: 2 small jars;
GSS-2;Certified;IGGE IRMA;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;;Sample: 2 small jars;
GSS-5;Certified;IGGE IRMA;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;;Sample: 2 small jars;
GSS-6;Certified;Soil;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;;Sample: 2 small jars;
GT;KTB-Standard;;;Granite;KTB;;;Samples: 1 large jar, 1 small jar;
GW;KTB-Standard;;;Grauwacke;KTB;;;Samples: 1 large jar, 1 small jar;
GXR-1;Certified;;Jasperoid;Jasperoid;Drum Mountains, UT;United States Geological Survey;ca. 52 g;Sample: 1 large jar, significant variations between bottles;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-1_1.html
GXR-2;Certified;;Soil;Soil;Park City, UT;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-2_1.html
GXR-3;Certified;;Hot Springs;Hot Springs Deposit;Humboldt County, NV;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-3_1.html
GXR-4;Certified;;Copper-Mill;Copper-Mill Heads;Utah;United States Geological Survey;;Samples: 1 small jar, perphyry copper;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-4_1.html
GXR-5;Certified;;Soil;Soil;B zone, Somerset County, ME;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-5_1.html
GXR-6;Certified;USGS-6 2286 Soil;Soil;Soil;B zone, Davidson County, NC;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-6_1.html
I 555;Standards Iran (Dr. Spies);;Andesitic Lava;Andesitic Lava, Lava ophiolit;;;10 g;Samples: 1 large jar, 1 small jar;
IF-G;Certified;;Iron Formation;Iron Formation;West Greenland, GRL;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches"""; ~3 g,  ~10 g;Samples: 2 small jars;http://www.geostandards.lanl.gov/AllAnalytes/All-IF-G_1.html
IMJ;Certified;;;ilmenite-magnetite ore;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stoerd in black box;
JA-1;;;Andesite;Andesite;Hakone volcano, Quarternary, Manazura-machi, Kanagawa Prefecture, JPN;Geological Survey of Japan;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-1_1.html
JA-1 M;Certified;Geochemical Standard JA-2;Andesite;Andesite;Goshikidai sanukitoid, 14Ma, Sakaide, Kagawa Prefecture, JPN;Geological Survey of Japan;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-2_1.html
JA-2;Certified;;Andesite;Andesite;Goshikidai sanukitoid, 14Ma, Sakaide, Kagawa Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 10 Position 84;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-2_1.html
JA-3;;;Andesite;Andesite;Asama volcano erupted in 1783, Tsumagoi-mura, Gunma Prefecture, JPN;Geological Survey of Japan;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-3_1.html
JB-1;Certified;;Basalt;Basalt;Kitamatsuura Basalt, 7.6 Ma, Sasebo, Nagasaki Prefecture, JPN;Geological Survey of Japan;;Widersprüchlich beschriftet: entweder JB-1 oder JB-2, Split 1 Position 106;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-1_1.html
JB-1A;;Replacement sample of JB-1;Basalt;Basalt;;Geological Survey of Japan;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-1A_1.html
JB-1a M;Certified;;Basalt;Basalt;;Geological Survey of Japan;;Samples: 1 small jar;
JB-2;Certified;;Basalt;Basalt;Oshima volcano erupted in 1950-51, Oshima, Tokyo, JPN;Geological Survey of Japan;;Widersprüchlich beschriftet: entweder JB-1 oder JB-2, Samples: 2 small jars, Split 6 Position 27;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-2_1.html
JCp-1;Certified;;;Coral;;Geological Survey of Japan;;;
JDo-1;Certified;;Dolomite;Dolomite;Kuzuu dolomite, Permina, Kuzuu-machi, Tochigi Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 8 Position 15;http://www.geostandards.lanl.gov/AllAnalytes/All-JDo-1_1.html
JG-1;;;Granodiorite;Granodiorite;Sori granodiorite, 91 Ma, Azuma-mura, Gunma Prefecture, JPN;Geological Survey of Japan;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1_1.html
JG-1A;Certified;Replacement sample of JG-1;Granodiorite;Granodiorite;;Geological Survey of Japan;3.39 g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1A_1.html
JG-2;Certified;;Granite;Granite;Naegi granite, Cretaceous, Hirukawa-mura, Gifu Prefecture, JPN;Geological Survey of Japan;;Samples: 2 large jars, 1 small jar, Split 5 Position 37 (32? unleserlich), Split 4 Position 69;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-2_1.html
